LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(s),(s),(s),(µm),(µm),(µm),(µm),(µm/s),(µm/s),(µm/s),(µm/s),(µm/s),(quality),(µm),(µm),,(µm/s),,(rad/s)
Track_0,0,0,64,0,0,0,0,0,56709.638999999996,0.0,56709.638999999996,3.2736732306267333,59.63596834351836,35.51753327480781,0.0,4.7708903151125404E-4,0.0015407967509440499,1.5451463682588238E-4,3.919463242764479E-4,2.86251318530477E-4,437.0,27.055546747862845,4.250368745592766,0.12099822861222811,5.772692770318523E-5,0.12099822861222814,0.00209756087939173
Track_1,1,1,135,0,0,0,0,0,120620.502,0.0,120620.502,5.323322214910248,65.38247329863538,33.25344976005208,0.0,4.145603104776812E-4,0.0027851144170286148,2.5311610793771567E-5,2.923981869094161E-4,4.264950183944646E-4,525.6962962962963,50.00447275909375,7.330455690945432,0.1064569211749594,4.4132814294789194E-5,0.10645692117495939,0.001937104698378666
Track_2,2,2,101,0,0,0,0,0,90015.29999999999,0.0,90015.29999999999,5.896449552771063,152.60903382162797,150.47256849321852,0.0,3.8376911489720384E-4,0.0017105656585813137,5.2140103550566524E-5,3.134111976829068E-4,2.8677236185444183E-4,382.6732673267327,34.54509200820626,8.506176941723112,0.17068848887044066,6.550497029695022E-5,0.1706884888704406,0.0018501443906881342
Track_3,3,3,5,0,0,0,0,0,3600.6119999999996,0.0,3600.6119999999996,1.089654434094573,8.673282666823223,87.26954131780664,0.0,4.946641611071696E-4,6.473050983653588E-4,2.5528255741719553E-4,5.613297547516217E-4,1.6877017690301621E-4,270.4,1.781093714452408,1.089654434094573,0.6117895006044554,3.0263034009067716E-4,0.6117895006044554,0.001936612916568576
Track_4,4,4,308,0,2,0,0,0,215136.56699999998,0.0,215136.56699999998,6.338973194843957,76.74755247300078,46.179832507986156,0.0,4.29205512319948E-4,0.00281027679773692,1.2771489210282356E-5,3.369618592113547E-4,4.0211640434784085E-4,581.4935064935065,118.6096432661209,12.612724120142063,0.05344399511110065,2.9464880300167465E-5,0.06864981798789921,0.002025290763856719
Track_5,5,5,69,0,0,0,0,0,61210.403999999995,0.0,61210.403999999995,2.986080661734752,6.471813339088928,94.35384186377242,0.0,4.4592946222485514E-4,0.0022440406118058543,6.1030371107832436E-5,3.221481993729264E-4,4.0066202007209696E-4,546.8840579710145,27.2955225382861,5.095074851687609,0.10939818637090835,4.87838744167536E-5,0.10939818637090827,0.0017512428670582096
Track_6,6,6,240,0,0,0,0,0,215136.56699999998,0.0,215136.56699999998,9.462461141838448,142.04537297053454,149.0753024832774,0.0,5.011642179727423E-4,0.0031108361319680043,2.8658390229077586E-5,4.2497189801771613E-4,3.910104389969149E-4,465.4625,107.8187493578956,9.462461141838448,0.08776266835027528,4.398350905096691E-5,0.0877626683502754,0.0020941707454906464
