LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID34048,34048,0,1017.0,213.76149845603769,228.6309930115391,0.0,1.0,1,18.06728502795806,1,,1087.3891050583657,1091.0,380.0,1750.0,1117836.0,235.49631105377927,0.6606831653221213,3.673984520499245,0.03460537157433201,0.003805205073090718,25.570528285529434,13.039537767731833,0.9132809877843169,1.9609995953083013,1025.5000000000005,126.24504788643762,0.808568514382874,0.9851104707012495,3.942271397268462
ID34884,34884,0,1097.0,206.7632058287796,236.82604735883424,0.0,25.0,25,18.69503289726451,1,,1086.310909090909,1093.0,439.0,1595.0,1194942.0,222.9619243662429,0.667634326791041,3.901137559679064,0.019436425924323444,-0.1666045237562237,26.43845217374768,13.570227328791356,0.8756022119596472,1.948268922338123,1098.0000000000002,132.26550035417006,0.7887130846282363,0.9768683274021355,3.9915852500839284
ID34054,34054,0,1045.0,210.12396033269354,232.51999360204735,0.0,9.0,9,18.212053739309848,1,,1086.9098753595397,1098.0,427.0,1634.0,1133647.0,212.53770023096195,0.6615673918704414,4.072336752241833,0.1109409870983576,0.13936244549192583,25.833460083192175,12.986406223732565,0.9106494311770691,1.9892693666074999,1041.9999999999998,128.11252494408805,0.7978006789831268,0.9774859287054409,3.9687864493527267
ID34438,34438,0,1069.0,208.62421972534332,237.36626092384518,0.0,18.0,18,18.437867513470437,1,,1089.4494382022472,1103.0,489.0,1538.0,1163532.0,206.48000116393538,0.6636605114055604,4.209595339996853,-0.036626685852439264,-0.1326637987083624,26.0692142577556,13.301648733237933,0.87353376861291,1.9598483451614757,1068.0000000000002,130.11274863900553,0.7927594246370793,0.9722348657259904,3.9813854511788533
ID35462,35462,0,1061.0,206.41915836101884,236.44099034962824,0.0,39.0,39,18.31227634934072,1,,1153.02849002849,1165.0,501.0,1691.0,1214139.0,234.66754889233414,0.6815446027823072,3.982931968417922,0.06357893521684653,0.04127721714114151,26.707322515577335,12.676128103755142,0.8982468611252002,2.106899070203119,1053.5,131.10917564053375,0.770155161734799,0.9768196569309225,4.0393902862101285
ID34695,34695,0,1066.0,207.56651017214398,235.81236306729264,0.0,22.0,22,18.411953421235268,1,,1095.843838193791,1101.0,542.0,1662.0,1164882.0,225.05056991268137,0.6652911887719821,3.8906318346135627,0.14824919291962355,0.002504136010369697,25.87323405868714,13.380419447624156,0.8658270613817589,1.933663900445305,1065.0,129.60055254664246,0.7967934686986293,0.9788602941176471,3.9712940879221335
ID34824,34824,0,1094.0,207.08135644768856,238.3979622871046,0.0,27.0,27,18.677998695187735,1,,1085.0946314831665,1093.0,495.0,1675.0,1192519.0,222.65078834441115,0.6670073497828727,3.9000168025923587,0.10808662762178706,-0.0020193405273395085,26.0179212460376,13.633174746064,0.8777252671249579,1.908427180803882,1096.0000000000005,130.96016828844657,0.8030488586678931,0.9790084859312199,3.955796550464429
