LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(µm/sec),(µm),(sec),(µm),(µm),(µm),
ID5998 → ID6001,0,5998,6001,0.18281017830608992,0.9580421816437368,1.3923100136855195,1.3923100136855195,48.5,150.26460029643437,128.81258549932488,0.0,
ID5988_1 → ID5994,0,8816,5994,0.15214530139512283,0.8476306775044467,1.2356329853573917,1.2356329853573917,51.5,150.38594789234241,127.91390630206487,0.0,
ID5857 → ID5899,0,5857,5899,0.13345243646914073,2.2084641537130834,0.6462898514690041,0.6462898514690041,18.5,146.79250271783047,131.38570089655707,0.0,
ID5848 → ID5864,0,5848,5864,0.13836617601859524,1.1084658421914166,1.1850001125074385,1.1850001125074385,14.5,146.02831750846008,131.94122732919095,0.0,
ID5875 → ID5879,0,5875,5879,0.10355611150819732,0.33735831139442446,0.3575973313436837,0.3575973313436837,22.5,147.06144585493163,131.60555317216875,0.0,
ID6046 → ID5959,0,6046,5959,0.0805443595790789,2.3802656633693737,0.6899110121929058,0.6899110121929058,40.5,151.34611509664037,131.98790090308836,0.0,
ID5967 → ID5971,0,5967,5971,0.0716515919348476,2.0591547883002583,0.6013726242242879,0.6013726242242879,45.5,150.2681679802414,130.65253247376518,0.0,
ID5972 → ID5967,0,5972,5967,0.15209709012338024,2.62262396413297,1.2159352430091415,1.2159352430091415,44.5,150.70105031589577,130.33455192509595,0.0,
ID5845 → ID8801,0,8799,8801,0.21535409035411035,0.2742390718074846,0.911964866831631,0.911964866831631,3.5,144.3660234599895,132.72523274752984,0.0,
ID5864 → ID5855,0,5864,5855,0.16579347034878356,3.141517999841842,1.0803250469496772,1.0803250469496772,15.5,146.0802395196324,131.94780941676837,0.0,
ID5899 → ID5868,0,5899,5868,0.10121486606773222,1.9575658028645875,0.45468285518000634,0.45468285518000634,19.5,146.72943733375774,131.69668052923555,0.0,
