LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID25601,25601,0,598.0,206.38981868898188,371.25564853556483,0.0,4.0,4,13.79094474627518,1,,922.0586264656616,943.0,338.0,1520.0,550469.0,212.19264763778483,0.6367463668624246,3.3809853526742497,-0.07014227752286602,0.15551263198745813,18.46364096060308,10.461161324357567,-0.9692021640380679,1.7649704834981077,597.5000000000001,95.20148849368336,0.8284385430431292,0.9811165845648608,3.8947069352072354
ID25474,25474,0,642.0,208.097200622084,371.616122343183,0.0,1.0,1,14.306406146065385,1,,865.3664596273292,880.0,332.0,1363.0,557296.0,181.7031379771503,0.615734574551897,3.6298706470119555,0.020682928460565218,-0.01969312537626989,18.10689736851374,11.659746336577914,2.174579561023295,1.5529409342045803,643.0,96.2874374115519,0.8715284722863403,0.9846860643185299,3.7972058572547
ID25670,25670,0,610.0,206.78656878738445,372.2150625339859,0.0,6.0,6,13.968677826861914,1,,919.1986970684039,932.0,367.0,1466.0,564388.0,204.99524428080022,0.6392871467173289,3.4973294817014953,0.2019294091609873,0.17507666268001035,18.469272019563544,11.111401151107165,2.195048145761751,1.6621910925899048,613.0,96.96320691338705,0.8193253593564228,0.9768924302788845,3.9163070410800986
ID25926,25926,0,612.0,202.89398907103825,373.0046448087432,0.0,16.0,16,13.934454799959427,1,,957.216039279869,978.0,382.0,1464.0,584859.0,199.01415833485208,0.6500753475710064,3.789796666935478,0.1693167987577412,0.0829749441921692,18.906366390537507,10.683116800263422,2.3875052284397698,1.7697425521053292,610.0,96.12606105659712,0.8295783428060626,0.9822866344605473,3.8920304478482817
ID26118,26118,0,646.0,203.38203546646108,375.2530197892573,0.0,22.0,22,14.367461891029613,1,,933.2534775888718,950.0,360.0,1428.0,603815.0,174.9693756029276,0.6469495636219749,4.190421365058324,-0.031586577036801594,-0.04202677587355827,18.79683188904858,11.176379726054865,-0.805856591080127,1.6818354735414531,648.4999999999999,97.88241642970443,0.8505708206652738,0.9825757575757574,3.8437018438589003
ID25927,25927,0,611.0,203.77510204081634,373.57591836734696,0.0,15.0,15,13.962979814050145,1,,949.7728758169935,963.0,341.0,1464.0,581261.0,206.45953792822485,0.6474653505832741,3.6158886646179513,-0.05892804463445887,0.20945299628526176,18.847499204761714,10.627729671430174,2.326938349388527,1.7734266666029534,612.5000000000001,97.39846901055533,0.8113564563350237,0.9768740031897932,3.9354924522600845
ID26444,26444,0,611.0,205.52702702702703,374.1677586677587,0.0,33.0,33,13.94016447231539,1,,1011.2113821138212,1024.0,361.0,1512.0,621895.0,201.70496611531036,0.6670815223744383,4.0121524572176765,0.22225750992606272,0.0958444716725245,18.83712706917208,11.033784114017775,2.318086931900691,1.7072227328827845,610.4999999999999,95.20565019928772,0.8463891463947717,0.9862681744749594,3.85318525071949
