target,status,rows,positives,positive_rate,groups,folds,features,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,horizon,feature_set
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,64,0.6131970207694811,0.03399607294428038,0.006216062910442406,0.001376772656388137,3,radial_only
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,8,0.808016938676718,0.06730844210047532,0.020731930974431677,0.016383676286704115,3,shape_scalars_only
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,71,0.6788476816887368,0.06227767598770707,0.010684600932747989,0.008632938809388152,3,shape_no_solidity
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,6,0.7771808422205442,0.10826515407176926,0.00970051533349364,0.00434305683664065,3,size_only
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,64,0.6088679366025836,0.0587852543024539,0.007992820741516794,0.005345528272080823,5,radial_only
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,8,0.8058690917285596,0.03606677655939234,0.023544030105979906,0.017009085922104643,5,shape_scalars_only
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,71,0.6926101709189141,0.06556587716807417,0.01022116858785394,0.007136350651173483,5,shape_no_solidity
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,6,0.8202181457745648,0.05832736841940926,0.013859973757040175,0.005590361112254603,5,size_only
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,64,0.6022235065426869,0.09136973205408123,0.01286012440636996,0.006296690630310252,10,radial_only
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,8,0.7645093116763809,0.02999057154536546,0.02914053296992376,0.01817013520273402,10,shape_scalars_only
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,71,0.6974172081476583,0.06676070544241597,0.014168825419173803,0.007236568180286843,10,shape_no_solidity
division_within_10_frames,ok,45161,266,0.005890037864529129,57,5,6,0.7978897024872265,0.08385500450864114,0.021987557495138872,0.009291303922925136,10,size_only
is_observed_division,ok,2203,43,0.019518837948252384,57,5,64,0.5244649615223149,0.1764755089413184,0.05126395074863808,0.045324527348522714,cell,cell_radial_only
is_observed_division,ok,2203,43,0.019518837948252384,57,5,8,0.8051638583133951,0.07432789531680417,0.09989933881039932,0.08161836738836119,cell,cell_shape_scalars_only
is_observed_division,ok,2203,43,0.019518837948252384,57,5,71,0.5735720782901743,0.16694652980806007,0.06163984213923472,0.057777311576340744,cell,cell_shape_no_solidity
is_observed_division,ok,2203,43,0.019518837948252384,57,5,6,0.6834543161312474,0.25068222624277087,0.12344024771909454,0.11832799122543963,cell,cell_size_only
