sequence_uid,sequence_name,dataset,source_split,xml_path,raw_spots,filtered_spots,raw_edges,filtered_edges,cells,division_cells,shape_valid_spots,mean_shape_missing_fraction
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,939,939,913,913,28,1,939,0.0
seq0002_HeLa-S3_nuc_pos15_q3_5c,HeLa-S3_nuc_pos15_q3_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos15_q3_5c\HeLa-S3_nuc_pos15_q3_5c_trackmate.xml,810,798,769,760,42,2,798,0.0
seq0003_HeLa-S3_nuc_pos16_q2_5c,HeLa-S3_nuc_pos16_q2_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos16_q2_5c\HeLa-S3_nuc_pos16_q2_5c_trackmate.xml,478,473,454,449,24,0,473,0.0
seq0004_HeLa-S3_nuc_pos20_q1_5c,HeLa-S3_nuc_pos20_q1_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos20_q1_5c\HeLa-S3_nuc_pos20_q1_5c_trackmate.xml,1880,1852,1798,1770,82,0,1852,0.0
seq0005_HeLa-S3_nuc_pos4_q1_5c,HeLa-S3_nuc_pos4_q1_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos4_q1_5c\HeLa-S3_nuc_pos4_q1_5c_trackmate.xml,682,667,655,640,27,0,667,0.0
seq0006_HeLa-S3_nuc_pos0_q0_5c,HeLa-S3_nuc_pos0_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos0_q0_5c\HeLa-S3_nuc_pos0_q0_5c_trackmate.xml,924,924,902,902,22,0,924,0.0
seq0007_HeLa-S3_nuc_pos0_q1_5c,HeLa-S3_nuc_pos0_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos0_q1_5c\HeLa-S3_nuc_pos0_q1_5c_trackmate.xml,862,861,827,826,41,3,861,0.0
seq0008_HeLa-S3_nuc_pos0_q3_5c,HeLa-S3_nuc_pos0_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos0_q3_5c\HeLa-S3_nuc_pos0_q3_5c_trackmate.xml,2017,1973,1895,1856,123,3,1973,0.0
seq0009_HeLa-S3_nuc_pos11_q1_5c,HeLa-S3_nuc_pos11_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos11_q1_5c\HeLa-S3_nuc_pos11_q1_5c_trackmate.xml,1123,1092,1058,1030,62,0,1092,0.0
seq0010_HeLa-S3_nuc_pos12_q0_5c,HeLa-S3_nuc_pos12_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos12_q0_5c\HeLa-S3_nuc_pos12_q0_5c_trackmate.xml,1896,1843,1841,1787,56,0,1843,0.0
seq0011_HeLa-S3_nuc_pos12_q1_5c,HeLa-S3_nuc_pos12_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos12_q1_5c\HeLa-S3_nuc_pos12_q1_5c_trackmate.xml,1098,1052,1039,988,74,5,1052,0.0
seq0012_HeLa-S3_nuc_pos12_q2_5c,HeLa-S3_nuc_pos12_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos12_q2_5c\HeLa-S3_nuc_pos12_q2_5c_trackmate.xml,1305,1287,1228,1205,84,1,1287,0.0
seq0013_HeLa-S3_nuc_pos12_q3_5c,HeLa-S3_nuc_pos12_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos12_q3_5c\HeLa-S3_nuc_pos12_q3_5c_trackmate.xml,1306,1306,1256,1256,50,0,1306,0.0
seq0014_HeLa-S3_nuc_pos13_q1_5c,HeLa-S3_nuc_pos13_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos13_q1_5c\HeLa-S3_nuc_pos13_q1_5c_trackmate.xml,1266,1265,1209,1209,56,0,1265,0.0
seq0015_HeLa-S3_nuc_pos13_q3_5c,HeLa-S3_nuc_pos13_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos13_q3_5c\HeLa-S3_nuc_pos13_q3_5c_trackmate.xml,761,760,737,736,24,0,760,0.0
seq0016_HeLa-S3_nuc_pos14_q3_5c,HeLa-S3_nuc_pos14_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos14_q3_5c\HeLa-S3_nuc_pos14_q3_5c_trackmate.xml,891,870,858,833,37,0,870,0.0
seq0017_HeLa-S3_nuc_pos15_q1_5c,HeLa-S3_nuc_pos15_q1_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos15_q1_5c\HeLa-S3_nuc_pos15_q1_5c_trackmate.xml,1468,1427,1406,1367,60,0,1427,0.0
seq0018_HeLa-S3_nuc_pos15_q2_5c,HeLa-S3_nuc_pos15_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos15_q2_5c\HeLa-S3_nuc_pos15_q2_5c_trackmate.xml,1045,1045,1004,1004,41,0,1045,0.0
seq0019_HeLa-S3_nuc_pos16_q0_5c,HeLa-S3_nuc_pos16_q0_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos16_q0_5c\HeLa-S3_nuc_pos16_q0_5c_trackmate.xml,1433,1421,1376,1364,57,0,1421,0.0
seq0020_HeLa-S3_nuc_pos16_q3_5c,HeLa-S3_nuc_pos16_q3_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos16_q3_5c\HeLa-S3_nuc_pos16_q3_5c_trackmate.xml,1220,1216,1171,1167,51,1,1216,0.0
seq0021_HeLa-S3_nuc_pos17_q2_5c,HeLa-S3_nuc_pos17_q2_5c,DynamicNuclearNet,train,DynamicNuclearNet\tif_data\train\out\HeLa-S3_nuc_pos17_q2_5c\HeLa-S3_nuc_pos17_q2_5c_trackmate.xml,1269,1265,1214,1212,53,0,1265,0.0
