target,status,rows,positives,positive_rate,groups,folds,features,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,horizon,feature
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.8076198842014806,0.047588375201429424,0.016777910306397675,0.012878203573119869,3,SOLIDITY
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.7169293573619305,0.06280224153245169,0.005936902258923055,0.0020827178875455336,3,shape_mean_radius
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.7119239350429334,0.0730469779386157,0.006046451272223137,0.0024239879671905103,3,ELLIPSE_MINOR
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.7070188937361372,0.055157440288821226,0.005941689444977102,0.0022000154913299724,3,RADIUS
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.707011336348366,0.055150376944679357,0.0059419897923193065,0.0022000109749065796,3,AREA
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.6953717561213735,0.05358589495955048,0.006659951045962854,0.003065504357143564,3,ELLIPSE_MAJOR
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.6645045159451392,0.042892236481660434,0.006164780007332218,0.0027585593737769576,3,PERIMETER
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.6633585393044799,0.05861415655827479,0.0042888002122070225,0.0012972309461271477,3,CIRCULARITY
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.5536555469284634,0.08806055824109546,0.0035807576773668874,0.0012756099105207985,3,shape_radius_cv
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.5207188159567185,0.07449833759872211,0.0028063649950085113,0.0008923617133456373,3,ELLIPSE_ASPECTRATIO
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.48471622357178923,0.030074913037453965,0.004887726421025763,0.0037880928304604897,3,shape_reconstruction_area_ratio
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.47409593190029986,0.04494197655950234,0.002745091965477904,0.0013641269998219273,3,shape_area_ratio
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.46024093971359487,0.04994528175266717,0.002026898835396698,0.0008602064753072541,3,shape_contour_centroid_dx
division_within_3_frames,ok,58199,126,0.002164985652674445,57,5,1,0.45677447354583495,0.046585409277288055,0.0020433606596648923,0.0007545562138428415,3,shape_contour_centroid_dy
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.8066069104778448,0.06049388238322104,0.020269578113267853,0.013559618658516367,5,SOLIDITY
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.7364513163016096,0.1015460987967716,0.00876620089080377,0.0032576129383865234,5,shape_mean_radius
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.7348120414913835,0.10034834600623008,0.010303760589052195,0.0041701793546142524,5,ELLIPSE_MAJOR
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.7310882705913051,0.10290493671888915,0.00884941336683045,0.003387129073451358,5,RADIUS
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.7310763058060589,0.10291436730770198,0.008848792838838507,0.0033879497657326144,5,AREA
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.7271194752501972,0.11291085223952509,0.009035048621211118,0.003810581683120909,5,ELLIPSE_MINOR
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.7054441563995353,0.1144985144079981,0.009297169601002436,0.004021370231986768,5,PERIMETER
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.6586541812429454,0.07865663354826534,0.0058631344968323165,0.0032562415492670537,5,CIRCULARITY
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.5498125909809127,0.0763134951526822,0.004654988032570329,0.0024921217659436387,5,shape_radius_cv
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.5275815345471424,0.0426476256819442,0.005597431298738562,0.0024209891705668,5,shape_area_ratio
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.4662776689369911,0.07316903727935439,0.0034889815873762166,0.001464806359940236,5,ELLIPSE_ASPECTRATIO
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.4657038329582373,0.031400651529506,0.004654226290555069,0.003932543243705564,5,shape_contour_centroid_dx
division_within_5_frames,ok,54188,179,0.00330331438694914,57,5,1,0.46287308385584325,0.05173946134334514,0.004952268800626406,0.004051216156575155,5,shape_reconstruction_area_ratio
