sequence_uid,sequence_name,dataset,source_split,xml_path,cell_id,generation,parents_id,childs_id,start_spot_id,end_spot_id,start_frame,end_frame,start_t,end_t,lifetime_frames,n_spots,end_reason,cell_uid,is_observed_division
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,0,0,,,12,806,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell0,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,1,0,,,16,805,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell1,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,2,0,,,19,808,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell2,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,3,0,,,22,807,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell3,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,4,0,,,26,810,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell4,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,5,0,,,30,812,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell5,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,6,0,,,34,809,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell6,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,7,0,,,38,811,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell7,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,8,0,,,40,813,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell8,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,DynamicNuclearNet\tif_data\test\out\HeLa-S3_nuc_pos11_q0_5c\HeLa-S3_nuc_pos11_q0_5c_trackmate.xml,9,0,,,44,815,0,41,0.0,41.0,42,42,death,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell9,False
