sequence_uid,sequence_name,dataset,source_split,xml_path,cell_id,generation,parents_id,childs_id,start_spot_id,end_spot_id,start_frame,end_frame,start_t,end_t,lifetime_frames,n_spots,end_reason,cell_uid,is_observed_division
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,0,0,,,131603,131603,1,1,900.1529999999999,900.1529999999999,1,1,death,seq0001_20210904_TL2-R05-C03-F0:cell0,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,1,0,,,131439,132539,4,14,3600.6119999999996,12602.141999999998,11,11,death,seq0001_20210904_TL2-R05-C03-F0:cell1,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,2,0,,,131559,131559,4,4,3600.6119999999996,3600.6119999999996,1,1,death,seq0001_20210904_TL2-R05-C03-F0:cell2,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,3,0,,,131788,132210,5,6,4500.764999999999,5400.918,2,2,death,seq0001_20210904_TL2-R05-C03-F0:cell3,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,4,0,,,132124,132124,6,6,5400.918,5400.918,1,1,death,seq0001_20210904_TL2-R05-C03-F0:cell4,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,5,0,,,132199,132199,6,6,5400.918,5400.918,1,1,death,seq0001_20210904_TL2-R05-C03-F0:cell5,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,6,0,,,132205,131410,6,7,5400.918,6301.070999999999,2,2,death,seq0001_20210904_TL2-R05-C03-F0:cell6,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,7,0,,,131348,131348,8,8,7201.223999999999,7201.223999999999,1,1,death,seq0001_20210904_TL2-R05-C03-F0:cell7,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,8,0,,,131669,131669,8,8,7201.223999999999,7201.223999999999,1,1,death,seq0001_20210904_TL2-R05-C03-F0:cell8,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,9,0,,,131916,131914,9,10,8101.3769999999995,9001.529999999999,2,2,death,seq0001_20210904_TL2-R05-C03-F0:cell9,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,10,0,,,131997,131997,9,9,8101.3769999999995,8101.3769999999995,1,1,death,seq0001_20210904_TL2-R05-C03-F0:cell10,False
seq0001_20210904_TL2-R05-C03-F0,20210904_TL2-R05-C03-F0,6139958,all,6139958\6139958\20210904_TL2-R05-C03-F0.xml,11,0,,,131743,132316,11,14,9901.682999999999,12602.141999999998,4,4,death,seq0001_20210904_TL2-R05-C03-F0:cell11,False
